id,order,quality,duration,date,species
AcrAru00029,Passeriformes,u,3.16,1962-05-18,Acrocephalus arundinaceus
AcrAru00030,Passeriformes,u,3.866,1962-05-18,Acrocephalus arundinaceus
AcrAru00031,Passeriformes,u,4.476,1963-06-10,Acrocephalus arundinaceus
AcrAru00032,Passeriformes,u,7.485,1963-06-10,Acrocephalus arundinaceus
AcrAru00033,Passeriformes,u,5.802,1963-06-10,Acrocephalus arundinaceus
AcrAru00034,Passeriformes,u,4.245,1963-06-10,Acrocephalus arundinaceus
AcrAru00035,Passeriformes,u,9.048,2007-05-09,Acrocephalus arundinaceus
AcrAru00036,Passeriformes,u,5.978,2007-05-09,Acrocephalus arundinaceus
AcrAru00037,Passeriformes,u,6.988,2007-05-09,Acrocephalus arundinaceus
AcrAru00038,Passeriformes,u,3.569,2007-06-08,Acrocephalus arundinaceus
AcrAru00039,Passeriformes,u,2.945,2009-05-18,Acrocephalus arundinaceus
AcrAru00040,Passeriformes,u,3.771,2009-07-02,Acrocephalus arundinaceus
AcrAru00041,Passeriformes,u,0.76,1967-07-01,Acrocephalus arundinaceus
AcrAru00042,Passeriformes,u,0.834,1967-07-01,Acrocephalus arundinaceus
AcrAru00043,Passeriformes,u,0.907,1967-07-01,Acrocephalus arundinaceus
AcrAru00044,Passeriformes,u,3.457,1966-05-12,Acrocephalus arundinaceus
AcrAru00045,Passeriformes,u,5.89,1966-05-12,Acrocephalus arundinaceus
AcrAru00046,Passeriformes,u,2.774,1966-05-12,Acrocephalus arundinaceus
AcrAru00047,Passeriformes,u,4.885,1965-07-04,Acrocephalus arundinaceus
AcrAru00048,Passeriformes,u,5.299,1965-07-04,Acrocephalus arundinaceus
AcrAru00049,Passeriformes,u,7.435,1965-07-04,Acrocephalus arundinaceus
AcrAru00050,Passeriformes,u,3.73,1975-05-11,Acrocephalus arundinaceus
AcrAru00051,Passeriformes,u,2.75,1975-05-11,Acrocephalus arundinaceus
AcrAru00052,Passeriformes,u,2.876,1975-05-11,Acrocephalus arundinaceus
AcrAru00053,Passeriformes,u,7.112,1990-05-19,Acrocephalus arundinaceus
AcrAru00054,Passeriformes,u,6.921,1990-05-19,Acrocephalus arundinaceus
AcrAru00055,Passeriformes,u,8.335,1990-05-19,Acrocephalus arundinaceus
AcrAru00056,Passeriformes,u,7.334,1995-05-28,Acrocephalus arundinaceus
AcrAru00057,Passeriformes,u,6.325,1995-05-28,Acrocephalus arundinaceus
AcrAru00058,Passeriformes,u,6.461,1995-05-28,Acrocephalus arundinaceus
AcrAru00059,Passeriformes,b,5.213,1964-05-19,Acrocephalus arundinaceus
AcrMel00001,Passeriformes,b,0.392,1963-08-15,Acrocephalus melanopogon
AcrMel00002,Passeriformes,b,0.846,1963-08-15,Acrocephalus melanopogon
AcrPal00001,Passeriformes,u,9.9,1995-05-28,Acrocephalus palustris
AcrPal00002,Passeriformes,u,9.573,1995-05-28,Acrocephalus palustris
AcrPal00003,Passeriformes,u,10.97,1974-06-13,Acrocephalus palustris
AcrPal00004,Passeriformes,u,9.577,1974-06-13,Acrocephalus palustris
AcrPal00005,Passeriformes,u,17.78,1974-06-13,Acrocephalus palustris
AcrPal00006,Passeriformes,u,17.866,1974-06-13,Acrocephalus palustris
AcrPal00007,Passeriformes,u,7.891,1974-06-13,Acrocephalus palustris
AcrPal00008,Passeriformes,u,7.365,1982-05-28,Acrocephalus palustris
AcrPal00009,Passeriformes,u,9.676,1986-06-02,Acrocephalus palustris
AcrPal00010,Passeriformes,u,17.735,1995-05-25,Acrocephalus palustris
AcrPal00011,Passeriformes,u,13.909,1995-05-25,Acrocephalus palustris
AcrPal00012,Passeriformes,u,7.239,1995-06-11,Acrocephalus palustris
AcrPal00013,Passeriformes,u,7.339,1995-06-11,Acrocephalus palustris
AcrPal00014,Passeriformes,u,11.454,1995-06-11,Acrocephalus palustris
AcrPal00015,Passeriformes,u,5.004,1992-05-24,Acrocephalus palustris
AcrPal00016,Passeriformes,u,12.62,2010-06-20,Acrocephalus palustris
AcrPal00017,Passeriformes,u,6.181,2010-06-20,Acrocephalus palustris
AcrPal00018,Passeriformes,u,6.995,2010-06-20,Acrocephalus palustris
AcrPal00019,Passeriformes,u,11.886,2010-06-20,Acrocephalus palustris
AcrPal00020,Passeriformes,u,11.167,2010-06-20,Acrocephalus palustris
AcrPal00021,Passeriformes,u,15.369,2010-06-20,Acrocephalus palustris
AcrPal00022,Passeriformes,u,13.457,2007-05-09,Acrocephalus palustris
AcrPal00023,Passeriformes,u,0.709,2008-05-18,Acrocephalus palustris
AcrPal00024,Passeriformes,u,0.859,2008-05-18,Acrocephalus palustris
AcrPal00025,Passeriformes,u,0.756,2008-05-18,Acrocephalus palustris
AcrPal00026,Passeriformes,u,3.992,2008-06-27,Acrocephalus palustris
AcrPal00027,Passeriformes,b,9.936,1964-05-25,Acrocephalus palustris
AcrPal00028,Passeriformes,b,6.416,1964-05-25,Acrocephalus palustris
AcrPal00029,Passeriformes,b,18.51,1985-06-11,Acrocephalus palustris
AcrPal00030,Passeriformes,b,21.447,1985-06-11,Acrocephalus palustris
AcrPal00031,Passeriformes,b,21.877,1985-06-17,Acrocephalus palustris
AcrPal00032,Passeriformes,b,22.684,1985-06-17,Acrocephalus palustris
AcrPal00033,Passeriformes,b,11.198,1986-06-16,Acrocephalus palustris
AcrPal00034,Passeriformes,b,21.097,1986-06-16,Acrocephalus palustris
AcrPal00035,Passeriformes,b,24.472,1970-06-06,Acrocephalus palustris
AcrPal00036,Passeriformes,b,8.659,1970-06-06,Acrocephalus palustris
AcrPal00037,Passeriformes,b,16.12,1970-06-06,Acrocephalus palustris
AcrPal10001,Passeriformes,b,2.662,1967-04-29,Acrocephalus paludicola
AcrPal10002,Passeriformes,b,1.782,1967-04-29,Acrocephalus paludicola
AcrPal10003,Passeriformes,b,1.803,1967-04-29,Acrocephalus paludicola
AcrSch00001,Passeriformes,b,6.674,1969-05-15,Acrocephalus schoenobaenus
AcrSch00002,Passeriformes,b,6.071,1969-05-15,Acrocephalus schoenobaenus
AcrSch00003,Passeriformes,b,5.78,1969-05-15,Acrocephalus schoenobaenus
AcrSch00004,Passeriformes,b,5.033,1969-05-15,Acrocephalus schoenobaenus
AcrSch00005,Passeriformes,b,10.619,1969-05-15,Acrocephalus schoenobaenus
AcrSch00006,Passeriformes,b,11.667,1969-05-15,Acrocephalus schoenobaenus
AcrSch00007,Passeriformes,b,4.139,2001-05-05,Acrocephalus schoenobaenus
AcrSch00008,Passeriformes,b,6.466,2010-05-23,Acrocephalus schoenobaenus
AcrSch00009,Passeriformes,b,4.019,2010-05-23,Acrocephalus schoenobaenus
AcrSch00010,Passeriformes,b,4.517,2010-05-23,Acrocephalus schoenobaenus
AcrSch00011,Passeriformes,b,4.864,2010-05-23,Acrocephalus schoenobaenus
AcrSch00012,Passeriformes,b,7.385,2010-05-24,Acrocephalus schoenobaenus
AcrSch00013,Passeriformes,b,4.817,2010-05-24,Acrocephalus schoenobaenus
AcrSch00014,Passeriformes,b,4.237,2010-05-24,Acrocephalus schoenobaenus
AcrSch00015,Passeriformes,b,6.242,2010-05-24,Acrocephalus schoenobaenus
AcrSch00016,Passeriformes,b,7.192,2010-05-24,Acrocephalus schoenobaenus
AcrSch00017,Passeriformes,b,5.782,1966-05-12,Acrocephalus schoenobaenus
AcrSch00018,Passeriformes,b,4.882,1966-05-12,Acrocephalus schoenobaenus
AcrSch00019,Passeriformes,b,12.895,1964-05-19,Acrocephalus schoenobaenus
AcrSci00001,Passeriformes,u,30.692,1969-05-15,Acrocephalus scirpaceus
AcrSci00002,Passeriformes,u,35.921,1969-05-15,Acrocephalus scirpaceus
AcrSci00003,Passeriformes,u,30.478,1969-05-15,Acrocephalus scirpaceus
AcrSci00004,Passeriformes,u,17.051,1979-05-26,Acrocephalus scirpaceus
AcrSci00005,Passeriformes,u,9.934,1979-05-26,Acrocephalus scirpaceus
AcrSci00006,Passeriformes,u,10.766,2010-06-10,Acrocephalus scirpaceus
AcrSci00007,Passeriformes,u,11.315,2010-06-10,Acrocephalus scirpaceus
AcrSci00008,Passeriformes,u,10.26,2010-06-10,Acrocephalus scirpaceus
AcrSci00009,Passeriformes,u,10.833,2010-06-10,Acrocephalus scirpaceus
AcrSci00010,Passeriformes,u,7.473,2012-05-24,Acrocephalus scirpaceus
AcrSci00011,Passeriformes,u,22.438,2012-05-24,Acrocephalus scirpaceus
AcrSci00012,Passeriformes,u,4.608,2006-06-04,Acrocephalus scirpaceus
AcrSci00013,Passeriformes,u,8.514,2006-06-04,Acrocephalus scirpaceus
AcrSci00014,Passeriformes,u,6.717,2006-06-04,Acrocephalus scirpaceus
AcrSci00015,Passeriformes,u,13.497,2006-06-08,Acrocephalus scirpaceus
AcrSci00016,Passeriformes,u,32.255,2006-06-08,Acrocephalus scirpaceus
AcrSci00017,Passeriformes,u,9.677,2006-06-08,Acrocephalus scirpaceus
AcrSci00018,Passeriformes,u,20.897,2007-05-30,Acrocephalus scirpaceus
AcrSci00019,Passeriformes,u,11.613,2007-05-30,Acrocephalus scirpaceus
AcrSci00020,Passeriformes,u,11.039,2007-05-30,Acrocephalus scirpaceus
AcrSci00021,Passeriformes,u,16.131,2007-05-30,Acrocephalus scirpaceus
AcrSci00022,Passeriformes,u,17.865,2007-05-30,Acrocephalus scirpaceus
AcrSci00023,Passeriformes,u,16.149,2007-06-04,Acrocephalus scirpaceus
AcrSci00024,Passeriformes,u,9.281,2007-06-04,Acrocephalus scirpaceus
AcrSci00025,Passeriformes,u,20.073,2007-06-30,Acrocephalus scirpaceus
AcrSci00026,Passeriformes,u,15.782,2007-06-30,Acrocephalus scirpaceus
AcrSci00027,Passeriformes,u,10.427,2007-08-18,Acrocephalus scirpaceus
AcrSci00028,Passeriformes,u,3.995,2007-08-18,Acrocephalus scirpaceus
AcrSci00029,Passeriformes,u,0.593,2007-08-18,Acrocephalus scirpaceus
AcrSci00030,Passeriformes,u,0.518,2007-08-18,Acrocephalus scirpaceus
AcrSci00031,Passeriformes,u,0.632,2007-08-18,Acrocephalus scirpaceus
AcrSci00032,Passeriformes,u,9.544,2008-08-31,Acrocephalus scirpaceus
AcrSci00033,Passeriformes,u,0.709,2008-08-31,Acrocephalus scirpaceus
AcrSci00034,Passeriformes,u,0.719,2008-08-31,Acrocephalus scirpaceus
AcrSci00035,Passeriformes,u,0.593,2008-08-31,Acrocephalus scirpaceus
AcrSci00036,Passeriformes,u,9.284,1967-07-01,Acrocephalus scirpaceus
AcrSci00037,Passeriformes,u,6.53,1967-07-01,Acrocephalus scirpaceus
AcrSci00038,Passeriformes,u,14.322,1961-05-31,Acrocephalus scirpaceus
AcrSci00039,Passeriformes,u,18.089,1961-05-31,Acrocephalus scirpaceus
AcrSci00040,Passeriformes,u,13.853,1961-05-31,Acrocephalus scirpaceus
AcrSci00041,Passeriformes,u,24.242,1988-05-29,Acrocephalus scirpaceus
AcrSci00042,Passeriformes,u,11.884,1988-06-12,Acrocephalus scirpaceus
AcrSci00043,Passeriformes,u,5.491,1988-06-12,Acrocephalus scirpaceus
AcrSci00044,Passeriformes,u,18.05,1990-05-28,Acrocephalus scirpaceus
AcrSci00045,Passeriformes,u,18.158,1990-05-28,Acrocephalus scirpaceus
AcrSci00046,Passeriformes,u,12.697,1990-05-28,Acrocephalus scirpaceus
AcrSci00047,Passeriformes,u,15.211,1991-07-28,Acrocephalus scirpaceus
AcrSci00048,Passeriformes,u,15.422,1997-06-07,Acrocephalus scirpaceus
AcrSci00049,Passeriformes,u,9.706,2012-04-29,Acrocephalus scirpaceus
AcrSci00050,Passeriformes,u,10.601,2007-06-04,Acrocephalus scirpaceus
AcrSci00051,Passeriformes,u,4.387,1967-08-27,Acrocephalus scirpaceus
AcrSci00052,Passeriformes,u,3.552,1967-08-27,Acrocephalus scirpaceus
AcrSci00053,Passeriformes,u,7.814,1967-08-27,Acrocephalus scirpaceus
AcrSci00054,Passeriformes,b,1.174,1985-06-17,Acrocephalus scirpaceus
AcrSci00055,Passeriformes,b,1.308,1985-06-17,Acrocephalus scirpaceus
AcrSci00056,Passeriformes,b,6.491,1970-06-06,Acrocephalus scirpaceus
AcrSci00057,Passeriformes,b,20.637,1970-06-06,Acrocephalus scirpaceus
AcrSci00058,Passeriformes,b,0.521,1970-08-02,Acrocephalus scirpaceus
AcrSci00059,Passeriformes,b,0.548,1970-08-02,Acrocephalus scirpaceus
ActHyp00001,Charadriiformes,b,0.749,1993-06-20,Actitis hypoleucos
ActHyp00002,Charadriiformes,b,1.362,1993-06-20,Actitis hypoleucos
ActHyp00003,Charadriiformes,b,1.377,1993-06-20,Actitis hypoleucos
ActHyp00004,Charadriiformes,b,0.997,1992-07-16,Actitis hypoleucos
ActHyp00005,Charadriiformes,b,1.349,1992-07-16,Actitis hypoleucos
ActHyp00006,Charadriiformes,b,1.528,1992-07-16,Actitis hypoleucos
ActHyp00007,Charadriiformes,b,1.99,1963-08-23,Actitis hypoleucos
AegCau00001,Passeriformes,b,0.536,1968-06-16,Aegithalos caudatus
AegCau00002,Passeriformes,b,0.547,2007-10-02,Aegithalos caudatus
AegCau00003,Passeriformes,b,0.568,2011-07-14,Aegithalos caudatus
AegCau00004,Passeriformes,b,0.581,2012-02-26,Aegithalos caudatus
AegCau00005,Passeriformes,b,1.085,2012-02-26,Aegithalos caudatus
AegCau00006,Passeriformes,b,0.527,2005-05-28,Aegithalos caudatus
AegCau00007,Passeriformes,b,1.126,2007-10-25,Aegithalos caudatus
AegCau00008,Passeriformes,b,0.705,2007-10-25,Aegithalos caudatus
AegCau00009,Passeriformes,b,0.628,2008-03-11,Aegithalos caudatus
AegCau00010,Passeriformes,b,0.687,2008-03-11,Aegithalos caudatus
AegCau00011,Passeriformes,b,0.577,2008-03-15,Aegithalos caudatus
AegCau00012,Passeriformes,b,0.588,2008-06-22,Aegithalos caudatus
AegCau00013,Passeriformes,b,0.598,2008-07-23,Aegithalos caudatus
AegCau00014,Passeriformes,b,0.536,2009-02-13,Aegithalos caudatus
AegCau00015,Passeriformes,b,1.005,2009-02-16,Aegithalos caudatus
AegCau00016,Passeriformes,b,0.843,2009-02-16,Aegithalos caudatus
AegCau00017,Passeriformes,b,0.506,1963-05-01,Aegithalos caudatus
AegCau00018,Passeriformes,b,3.74,1995-04-08,Aegithalos caudatus
AegCau00019,Passeriformes,b,3.413,1995-04-08,Aegithalos caudatus
AegFun00001,Strigiformes,b,3.55,2007-03-13,Aegolius funereus
AegFun00003,Strigiformes,c,2.945,2007-03-13,Aegolius funereus
AegFun00004,Strigiformes,c,3.25,2007-03-13,Aegolius funereus
AegFun00005,Strigiformes,c,2.989,2007-03-13,Aegolius funereus
AegFun00006,Strigiformes,a,2.043,2007-03-13,Aegolius funereus
AegFun00007,Strigiformes,a,1.632,2007-03-13,Aegolius funereus
AegFun00008,Strigiformes,a,2.288,2007-03-13,Aegolius funereus
AegFun00009,Strigiformes,a,1.85,2007-03-13,Aegolius funereus
AegFun00010,Strigiformes,a,2.252,2007-03-13,Aegolius funereus
AegFun00011,Strigiformes,a,2.09,2007-03-13,Aegolius funereus
AegFun00012,Strigiformes,b,1.794,1972-03-13,Aegolius funereus
AegFun00013,Strigiformes,a,1.788,1972-03-13,Aegolius funereus
AegFun00014,Strigiformes,a,1.568,1972-03-13,Aegolius funereus
AegFun00015,Strigiformes,a,1.542,1972-03-13,Aegolius funereus
AegFun00016,Strigiformes,a,1.739,1972-03-13,Aegolius funereus
AegFun00017,Strigiformes,b,1.735,1972-03-13,Aegolius funereus
AegFun00018,Strigiformes,a,1.811,1972-03-13,Aegolius funereus
AegFun00019,Strigiformes,a,2.024,1972-03-13,Aegolius funereus
AegFun00020,Strigiformes,a,2.118,1972-03-13,Aegolius funereus
AegFun00021,Strigiformes,a,1.979,1972-03-13,Aegolius funereus
AegFun00022,Strigiformes,u,0.5,2008-06-13,Aegolius funereus
AegFun00023,Strigiformes,u,0.545,2008-06-13,Aegolius funereus
AegFun00024,Strigiformes,a,0.485,2008-06-13,Aegolius funereus
AegFun00025,Strigiformes,u,0.472,2008-06-13,Aegolius funereus
AegFun00026,Strigiformes,u,0.537,2008-06-13,Aegolius funereus
AegFun00027,Strigiformes,u,0.486,2008-06-13,Aegolius funereus
AegFun00028,Strigiformes,u,0.474,2008-06-13,Aegolius funereus
AegFun00029,Strigiformes,u,0.456,2008-06-13,Aegolius funereus
AegFun00030,Strigiformes,u,0.557,2008-06-13,Aegolius funereus
AegFun00031,Strigiformes,u,0.476,2008-06-13,Aegolius funereus
AegFun00032,Strigiformes,b,0.502,2008-06-13,Aegolius funereus
AegFun00033,Strigiformes,u,0.488,2008-06-13,Aegolius funereus
AegFun00034,Strigiformes,u,0.464,2008-06-13,Aegolius funereus
AegFun00035,Strigiformes,b,2.39,1975-04-19,Aegolius funereus
AegFun00036,Strigiformes,u,0.734,1975-04-19,Aegolius funereus
AegFun00037,Strigiformes,a,0.559,1975-04-19,Aegolius funereus
AegFun00038,Strigiformes,a,0.793,1975-04-19,Aegolius funereus
AegFun00039,Strigiformes,a,0.901,1975-04-19,Aegolius funereus
AegFun00040,Strigiformes,u,0.836,1975-04-19,Aegolius funereus
AegFun00041,Strigiformes,a,0.883,1975-04-19,Aegolius funereus
AegFun00042,Strigiformes,a,0.597,1975-04-19,Aegolius funereus
AegFun00043,Strigiformes,a,0.811,1975-04-19,Aegolius funereus
AegFun00044,Strigiformes,b,0.927,1975-04-19,Aegolius funereus
AegFun00045,Strigiformes,a,0.755,1975-04-19,Aegolius funereus
AegFun00046,Strigiformes,a,0.743,1975-04-19,Aegolius funereus
AegFun00047,Strigiformes,a,0.707,1975-04-19,Aegolius funereus
AegFun00048,Strigiformes,a,1.511,,Aegolius funereus
AegFun00049,Strigiformes,b,1.963,,Aegolius funereus
AegFun00050,Strigiformes,a,1.902,,Aegolius funereus
AegFun00051,Strigiformes,u,0.552,2008-06-13,Aegolius funereus
AlaArv00001,Passeriformes,b,10.168,1968-05-23,Alauda arvensis
AlaArv00002,Passeriformes,b,6.678,1974-06-17,Alauda arvensis
AlaArv00003,Passeriformes,b,9.808,1979-06-26,Alauda arvensis
AlaArv00004,Passeriformes,b,10.252,2005-04-13,Alauda arvensis
AlaArv00005,Passeriformes,b,6.159,2005-04-13,Alauda arvensis
AlaArv00006,Passeriformes,b,0.569,2005-03-31,Alauda arvensis
AlaArv00007,Passeriformes,b,3.789,2006-04-13,Alauda arvensis
AlaArv00008,Passeriformes,b,4.084,2012-03-10,Alauda arvensis
AlaArv00009,Passeriformes,b,6.625,2008-04-08,Alauda arvensis
AlaArv00010,Passeriformes,b,0.671,2008-06-11,Alauda arvensis
AlaArv00011,Passeriformes,b,6.156,2008-07-17,Alauda arvensis
AlaArv00012,Passeriformes,b,0.89,2008-08-31,Alauda arvensis
AlaArv00013,Passeriformes,b,0.901,2008-08-31,Alauda arvensis
AlaArv00014,Passeriformes,b,0.484,2008-10-25,Alauda arvensis
AlaArv00015,Passeriformes,b,0.657,2009-04-19,Alauda arvensis
AlaArv00016,Passeriformes,b,5.039,1964-06-02,Alauda arvensis
AlaArv00017,Passeriformes,b,13.695,1964-06-02,Alauda arvensis
AlaArv00018,Passeriformes,b,7.101,1962-05-13,Alauda arvensis
AlaArv00019,Passeriformes,b,8.105,1964-04-02,Alauda arvensis
AlaArv00020,Passeriformes,b,11.919,1964-06-27,Alauda arvensis
AlaArv00021,Passeriformes,b,8.672,1964-06-27,Alauda arvensis
AlaArv00022,Passeriformes,b,7.333,1962-05-11,Alauda arvensis
AlaArv00023,Passeriformes,b,9.172,1979-06-27,Alauda arvensis
AlaArv00024,Passeriformes,b,59.033,1998-06-19,Alauda arvensis
AlcAtt00001,Coraciiformes,b,0.818,2008-07-29,Alcedo atthis
AlcAtt00002,Coraciiformes,b,0.677,2008-07-31,Alcedo atthis
AlcAtt00003,Coraciiformes,b,0.964,2008-07-31,Alcedo atthis
AlcAtt00004,Coraciiformes,b,0.939,2008-07-31,Alcedo atthis
AlcAtt00005,Coraciiformes,b,0.873,2008-08-01,Alcedo atthis
AlcAtt00006,Coraciiformes,b,0.852,2008-08-01,Alcedo atthis
AleRuf00001,Galliformes,b,0.652,1971-03-21,Alectoris rufa
AleRuf00002,Galliformes,b,0.917,1971-03-21,Alectoris rufa
AleRuf00003,Galliformes,b,0.819,1971-03-21,Alectoris rufa
AloAeg00001,Anseriformes,b,1.1,2007-08-26,Alopochen aegyptiaca
AloAeg00002,Anseriformes,b,0.558,2007-08-26,Alopochen aegyptiaca
AloAeg00003,Anseriformes,b,0.619,2008-04-20,Alopochen aegyptiaca
AloAeg00004,Anseriformes,b,0.609,2008-04-20,Alopochen aegyptiaca
AlyObs00001,Anura,b,0.976,1964-06-06,Alytes obstetricans
AnaAcu00001,Anseriformes,b,2.687,1964-03-23,Anas acuta
AnaPen00001,Anseriformes,b,0.708,2002-02-02,Anas penelope
AnaPen00002,Anseriformes,b,0.846,2007-12-01,Anas penelope
AnaPen00003,Anseriformes,b,0.727,2007-12-01,Anas penelope
AnaPen00004,Anseriformes,b,0.561,2009-01-10,Anas penelope
AnaPen00005,Anseriformes,b,0.614,2009-01-10,Anas penelope
AnaPen00006,Anseriformes,b,0.551,2009-01-10,Anas penelope
AnaPen00007,Anseriformes,b,0.705,2009-01-10,Anas penelope
AnaPen00008,Anseriformes,b,0.768,2009-01-10,Anas penelope
AnaPen00009,Anseriformes,b,0.59,2009-01-10,Anas penelope
AnaPen00010,Anseriformes,b,0.712,2009-12-03,Anas penelope
AnaPen00011,Anseriformes,b,0.538,2009-12-03,Anas penelope
AnaPen00012,Anseriformes,b,0.913,1964-03-30,Anas penelope
AnaPla00001,Anseriformes,b,0.68,1990-04-06,Anas platyrhynchos
AnaPla00002,Anseriformes,b,0.648,2010-04-29,Anas platyrhynchos
AnaPla00003,Anseriformes,b,0.628,2011-04-19,Anas platyrhynchos
AnaPla00004,Anseriformes,b,0.555,2012-03-25,Anas platyrhynchos
AnaPla00005,Anseriformes,b,0.449,1962-06-08,Anas platyrhynchos
AnaPla00006,Anseriformes,b,0.528,1957-04-30,Anas platyrhynchos
AnaPla00007,Anseriformes,b,0.517,2009-12-03,Anas platyrhynchos
AnaPla00008,Anseriformes,b,0.571,2008-05-21,Anas platyrhynchos
AnaPla00009,Anseriformes,b,0.501,2008-07-17,Anas platyrhynchos
AnaPla00010,Anseriformes,b,0.499,2008-07-17,Anas platyrhynchos
AnaPla00011,Anseriformes,b,0.539,2009-02-04,Anas platyrhynchos
AnaPla00012,Anseriformes,b,0.481,2009-04-05,Anas platyrhynchos
AnaPla00013,Anseriformes,b,0.551,2009-04-10,Anas platyrhynchos
AnaPla00014,Anseriformes,b,0.538,2010-03-21,Anas platyrhynchos
AnaPla00015,Anseriformes,b,0.462,1983-09-17,Anas platyrhynchos
AnaPla00016,Anseriformes,b,0.503,1989-08-22,Anas platyrhynchos
AnaPla00017,Anseriformes,b,0.524,2000-05-01,Anas platyrhynchos
AnaQue00001,Anseriformes,b,0.58,1981-04-23,Anas querquedula
AnaQue00002,Anseriformes,b,0.52,2007-05-19,Anas querquedula
AnaQue00003,Anseriformes,b,0.779,2008-04-29,Anas querquedula
AnaQue00004,Anseriformes,b,0.545,2008-05-13,Anas querquedula
AnaQue00005,Anseriformes,b,0.509,2009-05-06,Anas querquedula
AnaQue00006,Anseriformes,b,0.437,2011-04-19,Anas querquedula
AnaQue00007,Anseriformes,b,0.602,1964-04-27,Anas querquedula
AnaStr00001,Anseriformes,b,0.399,1981-04-23,Anas strepera
AnaStr00002,Anseriformes,b,0.491,1981-04-23,Anas strepera
AnaStr00003,Anseriformes,b,0.573,2008-04-27,Anas strepera
AnaStr00004,Anseriformes,b,0.378,2009-05-05,Anas strepera
AnaStr00005,Anseriformes,b,0.39,2009-05-05,Anas strepera
AnaStr00006,Anseriformes,b,0.407,2010-04-29,Anas strepera
AnaStr00007,Anseriformes,b,0.426,2012-05-24,Anas strepera
AnaStr00008,Anseriformes,b,0.377,,Anas strepera
AnaStr00009,Anseriformes,b,0.391,,Anas strepera
AnsAlb00001,Anseriformes,b,0.711,2002-02-03,Anser albifrons
AnsAlb00002,Anseriformes,b,0.81,2007-10-12,Anser albifrons
AnsAlb00003,Anseriformes,b,1.067,2007-10-12,Anser albifrons
AnsAlb00004,Anseriformes,b,1.303,2007-10-12,Anser albifrons
AnsAlb00005,Anseriformes,b,0.841,2007-10-12,Anser albifrons
AnsAlb00006,Anseriformes,b,0.642,2007-10-12,Anser albifrons
AnsAlb00007,Anseriformes,b,0.572,2007-10-28,Anser albifrons
